,Colonne 1,Colonne 2,Colonne 3,Colonne 4,Colonne 5,Colonne 6,Colonne 7,Colonne 8,Colonne 9,Colonne 10,Colonne 11,Colonne 12,Colonne 13,Colonne 14,Colonne 15,Colonne 16,Colonne 17,Colonne 18,Colonne 19,Colonne 20,Colonne 21,Colonne 22,Colonne 23,Colonne 24,Colonne 25,Colonne 26,Colonne 27,Colonne 28,Colonne 29,Colonne 30,Colonne 31,Colonne 32,Colonne 33,Colonne 34,Colonne 35,Colonne 36,Colonne 37,Colonne 38,Colonne 39,Colonne 40,Colonne 41,Colonne 42,Colonne 43,Colonne 44,Colonne 45,Colonne 46,Colonne 47,Colonne 48,Colonne 49,Colonne 50,Colonne 51,Colonne 52,Colonne 53,Colonne 54,Colonne 55,Colonne 56,Colonne 57,Colonne 58,Colonne 59,Colonne 60,Cas
AG,61,76,86,100,113,121,123,146,165,187,213,247,265,273,304,334,356,368,370,370,371,372,365,361,362,362,353,353,350,334,323,312,298,294,300,290,297,302,296,308,314,310,319,323,318,321,314,314,316,315,308,313,320,328,330,333,342,357,369,352,352
AI,285,334,365,403,409,421,458,458,558,620,607,570,613,558,570,620,632,663,762,725,744,731,657,576,527,452,440,421,421,365,341,334,322,322,328,297,235,241,241,204,210,210,192,186,198,186,192,167,173,179,204,179,167,173,186,173,223,223,279,285,285
AR,82,111,135,165,185,185,202,241,270,303,339,371,385,389,440,483,505,497,497,490,486,450,454,432,429,409,396,380,452,385,371,349,346,355,358,324,331,330,328,331,322,317,313,324,312,322,339,340,344,308,322,333,348,337,339,339,366,348,360,328,328
BE,87,101,117,137,153,164,172,200,231,265,293,326,345,358,400,431,449,465,481,480,481,482,478,474,460,441,438,430,403,382,358,347,335,331,329,315,305,297,293,284,280,280,281,277,279,274,274,273,271,263,259,263,261,272,279,284,292,309,316,301,301
BL,53,60,73,86,100,107,109,120,134,144,164,185,199,211,228,246,264,263,282,298,297,311,316,314,312,286,262,261,255,258,259,271,276,287,293,302,308,320,315,321,327,325,325,320,323,331,329,323,328,332,334,326,324,341,340,352,358,375,389,392,392
BS,68,72,82,96,104,101,112,123,142,170,192,211,225,231,258,271,281,285,302,302,306,309,320,313,312,301,300,300,306,317,323,356,382,395,407,416,414,414,381,361,367,352,344,344,348,351,351,337,343,339,331,324,323,330,335,339,348,352,355,350,350
CH,119,137,156,179,201,214,226,259,293,333,373,417,443,460,515,562,595,621,638,644,649,653,651,644,631,613,602,594,573,547,520,498,479,467,459,434,412,394,377,361,354,349,336,324,318,312,309,306,303,302,300,301,305,310,313,315,321,326,333,316,316
FR,179,207,233,278,319,348,383,434,504,579,652,730,792,825,954,1081,1164,1224,1293,1308,1322,1371,1389,1400,1409,1368,1360,1351,1270,1202,1122,1030,974,918,866,779,674,606,536,473,439,421,379,337,310,293,270,261,250,249,247,238,240,246,244,247,222,209,211,198,198
GE,235,270,305,341,387,400,412,464,535,610,719,824,872,916,1064,1204,1314,1395,1431,1450,1446,1449,1466,1448,1399,1375,1361,1351,1306,1206,1128,1057,972,930,906,807,707,627,559,491,468,450,396,375,342,318,310,302,294,285,260,254,248,232,227,226,221,217,213,196,196
GL,83,110,123,152,187,179,169,179,189,206,216,214,231,238,285,310,322,364,384,394,401,406,396,391,352,339,322,312,337,325,322,298,307,290,285,216,214,197,204,169,192,204,226,221,224,216,231,221,214,182,182,204,253,258,256,253,339,369,372,317,317
